	locus_tag	product
136	Blon_0144	putative transcriptional regulator, MerR family
137	Blon_0145	Xanthine/uracil/vitamin C permease
138	Blon_0146	putative acyl protein synthase/acyl-CoA reductase-like protein
139	Blon_0147	acyl-CoA reductase
140	Blon_0148	short-chain dehydrogenase/reductase SDR
141	Blon_0149	HAD-superfamily hydrolase, subfamily IA, variant 3
142	Blon_0150	DedA integral membrane protein
143	Blon_0151	hypothetical protein
144	Blon_0152	type II secretion system protein E
145	Blon_0153	tight adherence protein B
146	Blon_0154	conserved hypothetical membrane protein with unknown function
147	Blon_0155	hypothetical protein
148	Blon_0156	TadE family protein
149	Blon_0157	hypothetical protein
150	Blon_0158	diacylglycerol kinase, catalytic region
151	Blon_0159	transcriptional regulator, TetR family
152	Blon_0160	DNA polymerase III, subunits gamma and tau
153	Blon_0161	DNA replication and repair protein RecR
154	Blon_0162	sortase family protein
155	Blon_0163	narrowly conserved hypothetical protein
156	Blon_0164	aspartate kinase (EC 2.7.2.4)
157	Blon_0165	aspartate kinase (EC 2.7.2.4)
158	Blon_0166	aspartate semialdehyde dehydrogenase (EC 1.2.1.11)
159	Blon_0167	hypothetical protein
160	Blon_0168	metallophosphoesterase
161	Blon_0169	hypothetical protein
162	Blon_0170	2-isopropylmalate synthase
163	Blon_0171	glycosyl transferase, family 51
164	Blon_0172	phosphoesterase, PA-phosphatase related
165	Blon_0173	DNA topoisomerase I (EC 5.99.1.2)
166	Blon_0174	thymidylate kinase (EC 2.7.4.9)
167	Blon_0175	DNA polymerase III, delta prime subunit (EC 2.7.7.7)
168	Blon_0176	regulatory protein, LacI
169	Blon_0177	Phosphocarrier protein HPr
170	Blon_0178	phosphoenolpyruvate--protein phosphotransferase (EC 2.7.3.9)
171	Blon_0179	hypothetical protein
172	Blon_0180	dipeptidase A. Cysteine peptidase. MEROPS family C69
173	Blon_0181	Formate-tetrahydrofolate ligase (EC 6.3.4.3)
174	Blon_0182	hypothetical protein
175	Blon_0183	GtrA family protein
176	Blon_0184	putative transcriptional regulator
177	Blon_0185	major facilitator superfamily MFS_1
178	Blon_0186	Phosphoglycerate mutase
179	Blon_0187	hypothetical protein
180	Blon_0188	Aldose 1-epimerase
181	Blon_0189	protein of unknown function DUF805
182	Blon_0190	conserved hypothetical phage AbiD protein
183	Blon_0191	glutamyl-tRNA synthetase (EC 6.1.1.17)
184	Blon_0192	hypothetical protein
185	Blon_0193	protein of unknown function DUF1275
186	Blon_0194	putative transcriptional regulator
187	Blon_0195	conserved hypothetical membrane protein with unknown function
188	Blon_0196	iron permease FTR1
189	Blon_0197	narrowly conserved hypothetical protein
190	Blon_0198	narrowly conserved hypothetical membrane protein
191	Blon_0199	protein of unknown function DUF214
192	Blon_0200	protein of unknown function DUF214
193	Blon_0201	ABC transporter related
194	Blon_0202	hypothetical protein
195	Blon_0203	transcriptional regulator, TetR family
196	Blon_0204	putative membrane protein
197	Blon_0205	ABC-2 type transporter
198	Blon_0206	protein of unknown function DUF1113
199	Blon_0207	6-phosphogluconate dehydrogenase (decarboxylating) (EC 1.1.1.44)
200	Blon_0208	6-phosphogluconolactonase (EC 3.1.1.31)
201	Blon_0209	narrowly conserved hypothetical protein
202	Blon_0210	glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)
203	Blon_0211	hypothetical protein
204	Blon_0212	hypothetical protein
205	Blon_0213	hypothetical protein
206	Blon_0214	major facilitator superfamily MFS_1
207	Blon_0215	two component transcriptional regulator, LuxR family
208	Blon_0216	hypothetical protein
209	Blon_0217	hypothetical protein
210	Blon_0218	peptidase U34, dipeptidase
211	Blon_0219	glycosyl transferase, family 2
212	Blon_0220	transcriptional regulator, TetR family
213	Blon_0221	hypothetical protein
214	Blon_0222	signal recognition particle-docking protein FtsY
215	Blon_0223	ammonium transporter (TC 1.A.11)
216	Blon_0224	nitrogen regulatory protein P-II family
217	Blon_0225	(Protein-PII) uridylyltransferase
218	Blon_0226	MATE efflux family protein
219	Blon_0227	primary replicative DNA helicase (EC 3.6.1.-)
220	Blon_0228	domain of unknown function DUF1727
221	Blon_0229	CobB/CobQ domain protein glutamine amidotransferase
222	Blon_0230	hypothetical protein
223	Blon_0231	ABC-1 domain protein
224	Blon_0232	alanine racemase domain protein
225	Blon_0233	ribose-phosphate pyrophosphokinase
226	Blon_0234	SSU ribosomal protein S6P
227	Blon_0235	single-strand binding protein
228	Blon_0236	SSU ribosomal protein S18P
229	Blon_0237	LSU ribosomal protein L9P
230	Blon_0238	hypothetical protein
231	Blon_0239	hypothetical protein
232	Blon_0240	ABC transporter related
233	Blon_0241	ABC-2 type transporter
234	Blon_0242	ABC transporter related
235	Blon_0243	two component transcriptional regulator, LuxR family
236	Blon_0244	Signal transduction histidine kinase-like protein
237	Blon_0245	major facilitator superfamily MFS_1
238	Blon_0247	major facilitator superfamily MFS_1
239	Blon_0248	Alpha-L-fucosidase
240	Blon_0249	hypothetical protein
241	Blon_0250	MIP family channel protein
242	Blon_0251	copper-translocating P-type ATPase
243	Blon_0252	protein of unknown function DUF156
244	Blon_0253	protein of unknown function DUF195
245	Blon_0254	hypothetical protein
246	Blon_0255	tRNA/rRNA methyltransferase (SpoU)
247	Blon_0256	hypothetical protein
248	Blon_0257	hypothetical protein
249	Blon_0258	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (EC 6.3.5.-)
250	Blon_0259	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit A (EC 6.3.5.-)
251	Blon_0260	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (EC 6.3.5.-)
252	Blon_0261	GCN5-related N-acetyltransferase
253	Blon_0262	hypothetical protein
254	Blon_0263	histidine acid phosphatase
255	Blon_0264	UDP-galactopyranose mutase (EC 5.4.99.9)
256	Blon_0265	transcription termination factor Rho
257	Blon_0266	transcriptional regulator, LacI family
258	Blon_0267	sugar (Glycoside-Pentoside-Hexuronide) transporter
259	Blon_0268	glycoside hydrolase family 2, sugar binding
260	Blon_0270	transposase, mutator type
261	Blon_0271	phage integrase family protein
262	Blon_0273	chorismate mutase (EC 5.4.99.5)
263	Blon_0274	hypothetical protein
264	Blon_0275	valyl-tRNA synthetase (EC 6.1.1.9)
265	Blon_0276	extracellular solute-binding protein, family 5
266	Blon_0277	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)/endonuclease III (EC 3.2.2.-)
267	Blon_0278	response regulator receiver protein
268	Blon_0279	hypothetical protein
269	Blon_0280	protein of unknown function DUF204
270	Blon_0281	Inorganic diphosphatase
271	Blon_0282	alpha amylase, catalytic region
272	Blon_0283	LPXTG-motif cell wall anchor domain protein
273	Blon_0284	hypothetical protein
274	Blon_0285	alpha/beta superfamily hydrolase
275	Blon_0286	lactoylglutathione lyase (LGUL) family protein, diverged
276	Blon_0287	hypothetical protein
277	Blon_0288	phage integrase family protein
278	Blon_0290	Glyoxalase/bleomycin resistance protein/dioxygenase
279	Blon_0291	hypothetical protein
280	Blon_0292	helix-turn-helix domain protein
281	Blon_0293	hypothetical protein
282	Blon_0294	hypothetical protein
283	Blon_0295	plasmid replication protein
284	Blon_0296	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family
285	Blon_0297	hypothetical protein
286	Blon_0298	hypothetical protein
287	Blon_0299	hypothetical protein
288	Blon_0300	hypothetical protein
289	Blon_0301	protein of unknown function DUF497
290	Blon_0302	homoserine O-succinyltransferase (EC 2.3.1.46)
291	Blon_0303	ATP synthase F0 subcomplex A subunit
292	Blon_0304	ATP synthase F0 subcomplex C subunit
293	Blon_0305	ATP synthase F0 subcomplex B subunit
294	Blon_0306	ATP synthase F1 subcomplex delta subunit
295	Blon_0307	ATP synthase F1 subcomplex alpha subunit
296	Blon_0308	ATP synthase F1 subcomplex gamma subunit
297	Blon_0309	ATP synthase F1, beta subunit
298	Blon_0310	ATP synthase F1 subcomplex epsilon subunit
299	Blon_0311	protein of unknown function DUF91
300	Blon_0312	peptidylprolyl isomerase, FKBP-type
301	Blon_0313	hypothetical protein
302	Blon_0314	hypothetical protein
303	Blon_0315	putative thioredoxin
304	Blon_0316	adenylate cyclase
305	Blon_0317	putative endoribonuclease L-PSP
306	Blon_0318	phospholipid/glycerol acyltransferase
307	Blon_0319	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
308	Blon_0320	D-alanine--D-alanine ligase (EC 6.3.2.4)
309	Blon_0321	extracellular solute-binding protein, family 1
310	Blon_0322	binding-protein-dependent transport systems inner membrane component
311	Blon_0323	binding-protein-dependent transport systems inner membrane component
312	Blon_0324	ABC transporter related
313	Blon_0325	Abortive infection protein
314	Blon_0326	MscS Mechanosensitive ion channel
315	Blon_0327	fumarate lyase
316	Blon_0328	transcriptional regulator, TetR family
317	Blon_0329	hypothetical protein
318	Blon_0330	methylated-DNA--protein-cysteine methyltransferase
319	Blon_0331	hypothetical protein
320	Blon_0332	hypothetical protein
321	Blon_0334	RelB antitoxin
322	Blon_0335	transcriptional regulator, MerR family
323	Blon_0336	major facilitator superfamily MFS_1
324	Blon_0337	PfkB domain protein
325	Blon_0338	LSU ribosomal protein L28P
326	Blon_0339	ATP-dependent DNA helicase RecG (EC 3.6.1.-)
327	Blon_0340	LacI-family transcriptional regulator
328	Blon_0341	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)
329	Blon_0342	binding-protein-dependent transport systems inner membrane component
330	Blon_0343	extracellular solute-binding protein, family 1
331	Blon_0344	Mandelate racemase/muconate lactonizing enzyme, N-terminal domain protein
332	Blon_0345	major facilitator superfamily MFS_1
333	Blon_0346	hypothetical protein
334	Blon_0347	hypothetical protein
335	Blon_0348	transposase, IS4 family
336	Blon_0349	putative methyltransferase
337	Blon_0350	tRNA (Guanine37-N(1)-) methyltransferase (EC 2.1.1.31)
338	Blon_0351	peptidase U32
339	Blon_0352	protein of unknown function DUF152
340	Blon_0353	4-diphosphocytidyl-2C-methyl-D-erythritol synthase
341	Blon_0354	Pyroglutamyl-peptidase I
342	Blon_0355	hypothetical protein
343	Blon_0356	Bleomycin hydrolase
344	Blon_0357	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)
345	Blon_0358	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (EC 2.5.1.54)
346	Blon_0359	methylthioadenosine nucleosidase (EC 3.2.2.16)/adenosylhomocysteine nucleosidase (EC 3.2.2.9)
347	Blon_0360	major facilitator superfamily MFS_1
348	Blon_0361	histidine kinase
349	Blon_0362	two component transcriptional regulator, winged helix family
350	Blon_0363	phosphate ABC transporter substrate-binding protein, PhoT family (TC 3.A.1.7.1)
351	Blon_0364	phosphate ABC transporter membrane protein 1, PhoT family (TC 3.A.1.7.1)
352	Blon_0365	phosphate ABC transporter membrane protein 2, PhoT family (TC 3.A.1.7.1)
353	Blon_0366	phosphate ABC transporter ATP-binding protein, PhoT family (TC 3.A.1.7.1)
354	Blon_0367	LemA family protein
355	Blon_0368	hypothetical protein
356	Blon_0372	aldo/keto reductase
357	Blon_0373	Inosine/uridine-preferring nucleoside hydrolase
358	Blon_0374	regulatory protein, LacI
359	Blon_0375	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)
360	Blon_0376	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)
361	Blon_0377	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)
362	Blon_0378	hypothetical protein
363	Blon_0379	HipA domain protein
364	Blon_0380	transcriptional regulator, XRE family
365	Blon_0381	16S rRNA processing protein RimM
366	Blon_0382	narrowly conserved hypothetical protein
367	Blon_0383	SSU ribosomal protein S16P
368	Blon_0384	aminotransferase, class IV
369	Blon_0385	aminodeoxychorismate synthase, subunit I (EC 2.6.1.85)
370	Blon_0386	diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)
371	Blon_0387	riboflavin synthase alpha chain (EC 2.5.1.9)
372	Blon_0388	GTP cyclohydrolase II
373	Blon_0389	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
374	Blon_0390	Endonuclease/exonuclease/phosphatase
375	Blon_0391	signal recognition particle subunit FFH/SRP54 (srp54)
376	Blon_0392	cation efflux protein
377	Blon_0393	cysteinyl-tRNA synthetase (EC 6.1.1.16)
378	Blon_0394	glutamine amidotransferase class-I
379	Blon_0395	ABC transporter related
380	Blon_0396	PilT protein domain protein
381	Blon_0397	hypothetical protein
382	Blon_0398	acetolactate synthase, small subunit (EC 2.2.1.6)
383	Blon_0399	acetolactate synthase, large subunit (EC 2.2.1.6)
384	Blon_0400	RNAse III (EC 3.1.26.3)
385	Blon_0401	LSU ribosomal protein L32P
386	Blon_0402	protein of unknown function DUF177
387	Blon_0403	hypothetical protein
388	Blon_0404	Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
389	Blon_0405	hypothetical protein
390	Blon_0406	aldo/keto reductase
391	Blon_0407	putative transcriptional regulator, MerR family
392	Blon_0408	conserved hypothetical transmembrane protein with unknown function
393	Blon_0409	putative nicotinate phosphoribosyltransferase
394	Blon_0410	transcriptional regulator, Fis family
395	Blon_0411	RNAse PH (EC 2.7.7.56)
396	Blon_0412	Ham1 family protein
397	Blon_0413	Methicillin resistance protein
398	Blon_0414	Methicillin resistance protein
399	Blon_0415	Methicillin resistance protein
400	Blon_0416	Auxin Efflux Carrier
401	Blon_0417	Glucose-6-phosphate isomerase
402	Blon_0418	ABC transporter related
403	Blon_0419	binding-protein-dependent transport systems inner membrane component
404	Blon_0420	LSU ribosomal protein L19P
405	Blon_0421	signal peptidase I (EC:3.4.21.89). Serine peptidase. MEROPS family S26A
406	Blon_0422	RNase HII (EC 3.1.26.4)
407	Blon_0423	transcriptional regulator, LacI family
408	Blon_0425	major facilitator superfamily MFS_1
409	Blon_0426	Alpha-L-fucosidase
410	Blon_0427	AMP-dependent synthetase and ligase
411	Blon_0431	sugar transporter
412	Blon_0432	hypothetical protein
413	Blon_0433	two component transcriptional regulator, LuxR family
414	Blon_0434	hypothetical protein
415	Blon_0435	hypothetical protein
416	Blon_0436	ABC transporter related
417	Blon_0437	hypothetical protein
418	Blon_0438	hypothetical protein
419	Blon_0439	transcriptional regulator, LacI family
420	Blon_0440	Ig domain protein
421	Blon_0441	hypothetical protein
422	Blon_0442	aldo/keto reductase
423	Blon_0443	narrowly conserved hypothetical protein
424	Blon_0444	natural resistance-associated macrophage protein
425	Blon_0445	drug resistance transporter, EmrB/QacA subfamily
426	Blon_0446	hypothetical protein
427	Blon_0447	DNA primase, small subunit
428	Blon_0448	hypothetical protein
429	Blon_0449	Integrase, catalytic region
430	Blon_0450	hypothetical protein
431	Blon_0451	hypothetical protein
432	Blon_0453	hypothetical protein
433	Blon_0454	hypothetical protein
434	Blon_0455	hypothetical protein
435	Blon_0456	hypothetical protein
436	Blon_0457	hypothetical protein
437	Blon_0458	phage integrase family protein
438	Blon_0459	glycoside hydrolase, family 20
439	Blon_0460	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)
440	Blon_0463	two component transcriptional regulator, LuxR family
441	Blon_0464	histidine kinase, dimerisation and phosphoacceptor region
442	Blon_0465	hypothetical protein
443	Blon_0466	hypothetical protein
444	Blon_0467	protein of unknown function DUF214
445	Blon_0468	ABC transporter related
446	Blon_0469	Protease II-like protein
447	Blon_0470	serine/threonine protein kinase
448	Blon_0471	two component transcriptional regulator, LuxR family
449	Blon_0472	histidine kinase, dimerisation and phosphoacceptor region
450	Blon_0473	putative ABC transport system permease protein
451	Blon_0474	ABC transporter related
452	Blon_0475	ABC transporter related
453	Blon_0476	ATP-binding cassette, subfamily B
454	Blon_0477	hypothetical protein
455	Blon_0478	asparagine synthase
456	Blon_0479	hypothetical protein
457	Blon_0480	ABC transporter related
458	Blon_0481	two component transcriptional regulator, LuxR family
459	Blon_0482	histidine kinase, dimerisation and phosphoacceptor region
460	Blon_0483	hypothetical protein
461	Blon_0484	protein of unknown function DUF95, transmembrane
462	Blon_0485	hypothetical protein
463	Blon_0486	ABC transporter related
464	Blon_0487	hypothetical protein
465	Blon_0488	hypothetical protein
466	Blon_0489	phage integrase family protein
467	Blon_0490	hypothetical protein
468	Blon_0491	aminotransferase, class I and II
469	Blon_0492	hypothetical protein
470	Blon_0493	putative dehydrogenase
471	Blon_0494	flavodoxin/nitric oxide synthase
472	Blon_0495	major facilitator superfamily MFS_1
473	Blon_0496	phosphoribosylglycinamide synthetase
474	Blon_0497	hypothetical protein
475	Blon_0498	Integrase, catalytic region
476	Blon_0499	phage integrase family protein
477	Blon_0500	hypothetical protein
478	Blon_0501	two component transcriptional regulator, LuxR family
479	Blon_0502	hypothetical protein
480	Blon_0504	hypothetical protein
481	Blon_0505	hypothetical protein
482	Blon_0506	hypothetical protein
483	Blon_0507	hypothetical protein
484	Blon_0508	transcriptional regulator, TetR family
485	Blon_0509	integral membrane sensor signal transduction histidine kinase
486	Blon_0510	two component transcriptional regulator, winged helix family
487	Blon_0511	hypothetical protein
488	Blon_0512	hypothetical protein
489	Blon_0513	Peptidoglycan-binding domain 1 protein
490	Blon_0514	ABC transporter related
491	Blon_0515	hypothetical protein
492	Blon_0516	regulatory protein, LacI
493	Blon_0517	ABC transporter related
494	Blon_0518	hypothetical protein
495	Blon_0519	hypothetical protein
496	Blon_0520	hypothetical protein
497	Blon_0521	Lanthionine synthetase C family protein
498	Blon_0522	heme exporter protein CcmA
499	Blon_0523	ABC-2 type transporter
500	Blon_0524	LPXTG-motif cell wall anchor domain protein
501	Blon_0525	hypothetical protein
502	Blon_0526	helix-turn-helix domain protein
503	Blon_0527	hypothetical protein
504	Blon_0528	hypothetical protein
505	Blon_0529	chromosome partitioning protein
506	Blon_0530	chromosome partitioning protein
507	Blon_0531	transcription factor WhiB
508	Blon_0532	hypothetical protein
509	Blon_0533	hypothetical protein
510	Blon_0534	hypothetical protein
511	Blon_0535	hypothetical protein
512	Blon_0536	hypothetical protein
513	Blon_0537	tRNA (guanine-N(7)-)-methyltransferase
514	Blon_0538	UDP-galactose 4-epimerase (EC 5.1.3.2)
515	Blon_0539	Cyclopropane-fatty-acyl-phospholipid synthase
516	Blon_0540	lactaldehyde reductase
517	Blon_0541	glycosyl transferase, family 2
518	Blon_0542	protein of unknown function UPF0118
519	Blon_0543	glycosyl transferase, family 2
520	Blon_0544	ABC transporter related
521	Blon_0545	conserved hypothetical transmembrane protein with unknown function
522	Blon_0546	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
523	Blon_0547	tRNA(Ile)-lysidine synthetase
524	Blon_0548	hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)
525	Blon_0549	membrane protease FtsH catalytic subunit (EC 3.4.24.-)
526	Blon_0550	GTP cyclohydrolase I (EC 3.5.4.16)
527	Blon_0551	Dihydropteroate synthase (EC 2.5.1.15)
528	Blon_0552	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase
529	Blon_0553	conserved hypothetical membrane protein with unknown function
530	Blon_0554	acyl-CoA thioesterase
531	Blon_0555	ABC transporter related
532	Blon_0556	hypothetical protein
533	Blon_0558	major facilitator superfamily MFS_1
534	Blon_0559	hypothetical protein
535	Blon_0560	ABC transporter related
536	Blon_0561	protein of unknown function DUF214
537	Blon_0562	transcriptional regulator, PadR family
538	Blon_0563	transposase IS116/IS110/IS902 family protein
539	Blon_0564	major facilitator superfamily MFS_1
540	Blon_0565	glucokinase (EC 2.7.1.2)
541	Blon_0567	2,5-didehydrogluconate reductase
542	Blon_0568	formylmethionine deformylase
543	Blon_0569	hypothetical protein
544	Blon_0570	conserved hypothetical membrane protein possibly involved in transport
545	Blon_0571	conserved hypothetical membrane protein in major facilitator transporter family
546	Blon_0572	carbohydrate kinase, FGGY
547	Blon_0573	ROK family protein
548	Blon_0574	LSU ribosomal protein L31P
549	Blon_0575	bacterial peptide chain release factor 1 (bRF-1)
550	Blon_0576	modification methylase, HemK family
551	Blon_0577	amino acid/amide ABC transporter substrate-binding protein, HAAT family (TC 3.A.1.4.-)
552	Blon_0578	amino acid/amide ABC transporter membrane protein 1, HAAT family (TC 3.A.1.4.-)
553	Blon_0579	amino acid/amide ABC transporter membrane protein 2, HAAT family (TC 3.A.1.4.-)
554	Blon_0580	amino acid/amide ABC transporter ATP-binding protein 1, HAAT family (TC 3.A.1.4.-)
555	Blon_0581	amino acid/amide ABC transporter ATP-binding protein 2, HAAT family (TC 3.A.1.4.-)
556	Blon_0582	Sua5/YciO/YrdC/YwlC family protein
557	Blon_0583	glycosyl transferase, family 4
558	Blon_0584	inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)
559	Blon_0585	Exonuclease, RNase T and DNA polymerase III
560	Blon_0586	AAA ATPase
561	Blon_0588	hypothetical protein
562	Blon_0589	prolyl-tRNA synthetase (EC 6.1.1.15)
563	Blon_0590	single-strand binding protein
564	Blon_0591	endothelin-converting enzyme (EC 3.4.24.71). Metallo peptidase. MEROPS family M13
565	Blon_0592	hypothetical protein
566	Blon_0593	methionine aminopeptidase, type I (EC 3.4.11.18)
567	Blon_0594	citrate synthase (EC 2.3.3.1)
568	Blon_0595	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
